date,load_mw
2015-01-01,28304.458333333332
2015-01-02,30856.0
2015-01-03,31009.875
2015-01-04,30924.666666666668
2015-01-05,41563.5
2015-01-06,41459.291666666664
2015-01-07,42146.5
2015-01-08,41474.083333333336
2015-01-09,40759.916666666664
2015-01-10,37014.666666666664
2015-01-11,36995.458333333336
2015-01-12,41324.375
2015-01-13,43953.041666666664
2015-01-14,45122.166666666664
2015-01-15,44632.5
2015-01-16,44751.875
2015-01-17,41698.875
2015-01-18,40926.291666666664
2015-01-19,45556.125
2015-01-20,46525.041666666664
2015-01-21,46416.625
2015-01-22,46037.166666666664
2015-01-23,45929.875
2015-01-24,41568.416666666664
2015-01-25,40635.625
2015-01-26,44372.166666666664
2015-01-27,45200.875
2015-01-28,44740.25
2015-01-29,46039.958333333336
2015-01-30,45893.208333333336
2015-01-31,41998.666666666664
2015-02-01,41402.166666666664
2015-02-02,46586.416666666664
2015-02-03,46242.083333333336
2015-02-04,45914.208333333336
2015-02-05,46730.833333333336
2015-02-06,45212.25
2015-02-07,41489.875
2015-02-08,39791.916666666664
2015-02-09,43324.166666666664
2015-02-10,44852.291666666664
2015-02-11,45722.416666666664
2015-02-12,45703.416666666664
2015-02-13,44495.0
2015-02-14,40502.416666666664
2015-02-15,38973.166666666664
2015-02-16,43923.666666666664
2015-02-17,43707.875
2015-02-18,42620.666666666664
2015-02-19,43451.916666666664
2015-02-20,43578.625
2015-02-21,39400.541666666664
2015-02-22,39965.75
2015-02-23,43857.833333333336
2015-02-24,44307.25
2015-02-25,43914.958333333336
2015-02-26,43273.666666666664
2015-02-27,42961.708333333336
2015-02-28,38967.25
2015-03-01,37728.25
2015-03-02,43502.916666666664
2015-03-03,43917.416666666664
2015-03-04,43714.166666666664
2015-03-05,43512.125
2015-03-06,41236.166666666664
2015-03-07,36401.666666666664
2015-03-08,36522.291666666664
2015-03-09,42683.541666666664
2015-03-10,41883.0
2015-03-11,42364.041666666664
2015-03-12,41693.0
2015-03-13,41737.208333333336
2015-03-14,38827.625
2015-03-15,38309.875
2015-03-16,43025.083333333336
2015-03-17,42729.291666666664
2015-03-18,42538.416666666664
2015-03-19,42738.291666666664
2015-03-20,41109.375
2015-03-21,37056.791666666664
2015-03-22,36570.916666666664
2015-03-23,40273.833333333336
2015-03-24,40324.5
2015-03-25,40323.375
2015-03-26,40783.25
2015-03-27,39453.958333333336
2015-03-28,35944.125
2015-03-29,35744.42857142857
2015-03-30,39467.916666666664
2015-03-31,40067.25
2015-04-01,38053.083333333336
2015-04-02,37050.75
2015-04-03,34308.041666666664
2015-04-04,33254.166666666664
2015-04-05,31245.041666666668
2015-04-06,31876.5
2015-04-07,34768.083333333336
2015-04-08,35201.333333333336
2015-04-09,35100.375
2015-04-10,34512.958333333336
2015-04-11,30885.291666666668
2015-04-12,30835.416666666668
2015-04-13,36954.041666666664
2015-04-14,37840.541666666664
2015-04-15,37496.083333333336
2015-04-16,37756.583333333336
2015-04-17,37015.625
2015-04-18,33425.708333333336
2015-04-19,33567.208333333336
2015-04-20,37662.375
2015-04-21,37378.083333333336
2015-04-22,37443.333333333336
2015-04-23,37240.791666666664
2015-04-24,36385.75
2015-04-25,33198.666666666664
2015-04-26,33008.958333333336
2015-04-27,38034.125
2015-04-28,36390.708333333336
2015-04-29,38088.0
2015-04-30,38188.166666666664
2015-05-01,37513.916666666664
2015-05-02,33958.75
2015-05-03,32585.791666666668
2015-05-04,32858.25
2015-05-05,36941.916666666664
2015-05-06,37621.5
2015-05-07,37620.375
2015-05-08,37199.958333333336
2015-05-09,33282.958333333336
2015-05-10,32148.833333333332
2015-05-11,35880.291666666664
2015-05-12,36241.708333333336
2015-05-13,36442.208333333336
2015-05-14,37756.416666666664
2015-05-15,36621.25
2015-05-16,32178.25
2015-05-17,31369.041666666668
2015-05-18,36665.708333333336
2015-05-19,37533.583333333336
2015-05-20,37262.708333333336
2015-05-21,36361.5
2015-05-22,36048.958333333336
2015-05-23,31843.458333333332
2015-05-24,30275.708333333332
2015-05-25,31694.208333333332
2015-05-26,34921.458333333336
2015-05-27,35503.458333333336
2015-05-28,35129.708333333336
2015-05-29,35445.833333333336
2015-05-30,31336.791666666668
2015-05-31,31240.875
2015-06-01,35450.666666666664
2015-06-02,35970.625
2015-06-03,35999.583333333336
2015-06-04,35962.5
2015-06-05,34973.583333333336
2015-06-06,30596.25
2015-06-07,29445.125
2015-06-08,34607.416666666664
2015-06-09,35426.541666666664
2015-06-10,36118.0
2015-06-11,33694.541666666664
2015-06-12,35415.5
2015-06-13,31852.916666666668
2015-06-14,31150.416666666668
2015-06-15,35132.291666666664
2015-06-16,35840.708333333336
2015-06-17,35788.958333333336
2015-06-18,35649.0
2015-06-19,34566.875
2015-06-20,31647.791666666668
2015-06-21,29788.916666666668
2015-06-22,35122.666666666664
2015-06-23,35588.5
2015-06-24,35583.208333333336
2015-06-25,35473.541666666664
2015-06-26,35061.458333333336
2015-06-27,31021.333333333332
2015-06-28,30070.666666666668
2015-06-29,35163.0
2015-06-30,36642.833333333336
2015-07-01,37296.708333333336
2015-07-02,36236.583333333336
2015-07-03,35235.5
2015-07-04,31683.916666666668
2015-07-05,30343.25
2015-07-06,34219.75
2015-07-07,34432.458333333336
2015-07-08,34803.541666666664
2015-07-09,35026.0
2015-07-10,35093.333333333336
2015-07-11,30879.875
2015-07-12,29860.5
2015-07-13,34988.75
2015-07-14,35407.375
2015-07-15,35376.375
2015-07-16,35637.625
2015-07-17,34488.25
2015-07-18,30431.083333333332
2015-07-19,29878.708333333332
2015-07-20,34465.791666666664
2015-07-21,34580.208333333336
2015-07-22,34988.291666666664
2015-07-23,34601.75
2015-07-24,34548.25
2015-07-25,30459.833333333332
2015-07-26,30116.75
2015-07-27,34083.458333333336
2015-07-28,34528.75
2015-07-29,34427.541666666664
2015-07-30,34176.208333333336
2015-07-31,33710.875
2015-08-01,30047.5
2015-08-02,29831.666666666668
2015-08-03,33699.625
2015-08-04,33624.125
2015-08-05,34400.041666666664
2015-08-06,33570.166666666664
2015-08-07,33566.25
2015-08-08,30484.708333333332
2015-08-09,29837.041666666668
2015-08-10,34071.625
2015-08-11,35278.75
2015-08-12,35110.791666666664
2015-08-13,35593.583333333336
2015-08-14,35380.208333333336
2015-08-15,30865.916666666668
2015-08-16,30307.708333333332
2015-08-17,34672.75
2015-08-18,35292.041666666664
2015-08-19,35655.75
2015-08-20,35737.541666666664
2015-08-21,34956.333333333336
2015-08-22,32096.958333333332
2015-08-23,30859.708333333332
2015-08-24,35131.208333333336
2015-08-25,35126.5
2015-08-26,35302.916666666664
2015-08-27,34918.708333333336
2015-08-28,34125.791666666664
2015-08-29,30798.0
2015-08-30,30033.625
2015-08-31,31774.041666666668
2015-09-01,35135.333333333336
2015-09-02,35843.666666666664
2015-09-03,36074.708333333336
2015-09-04,35406.333333333336
2015-09-05,32059.166666666668
2015-09-06,31146.5
2015-09-07,35787.166666666664
2015-09-08,36832.583333333336
2015-09-09,36571.875
2015-09-10,36155.625
2015-09-11,35550.125
2015-09-12,31946.166666666668
2015-09-13,31308.916666666668
2015-09-14,35115.75
2015-09-15,36311.166666666664
2015-09-16,37004.5
2015-09-17,36795.25
2015-09-18,36239.0
2015-09-19,32450.833333333332
2015-09-20,31814.291666666668
2015-09-21,37043.458333333336
2015-09-22,36626.916666666664
2015-09-23,36578.708333333336
2015-09-24,36011.041666666664
2015-09-25,35769.083333333336
2015-09-26,32677.208333333332
2015-09-27,31870.583333333332
2015-09-28,36587.5
2015-09-29,36541.708333333336
2015-09-30,37556.666666666664
2015-10-01,37274.875
2015-10-02,37192.791666666664
2015-10-03,34737.375
2015-10-04,31970.458333333332
2015-10-05,37635.166666666664
2015-10-06,37960.791666666664
2015-10-07,37690.166666666664
2015-10-08,37862.291666666664
2015-10-09,37361.083333333336
2015-10-10,34330.916666666664
2015-10-11,33325.0
2015-10-12,37816.583333333336
2015-10-13,38857.291666666664
2015-10-14,38136.875
2015-10-15,38768.875
2015-10-16,38103.958333333336
2015-10-17,35860.166666666664
2015-10-18,35063.541666666664
2015-10-19,38806.833333333336
2015-10-20,38413.166666666664
2015-10-21,38999.791666666664
2015-10-22,38063.333333333336
2015-10-23,38807.0
2015-10-24,35402.541666666664
2015-10-25,35537.916666666664
2015-10-26,38585.625
2015-10-27,39974.75
2015-10-28,39633.041666666664
2015-10-29,38775.916666666664
2015-10-30,39453.916666666664
2015-10-31,35545.833333333336
2015-11-01,35631.25
2015-11-02,40446.041666666664
2015-11-03,40465.333333333336
2015-11-04,40373.833333333336
2015-11-05,40220.125
2015-11-06,38563.583333333336
2015-11-07,35889.0
2015-11-08,35551.375
2015-11-09,39584.666666666664
2015-11-10,39166.875
2015-11-11,39328.625
2015-11-12,39393.625
2015-11-13,39439.916666666664
2015-11-14,37482.208333333336
2015-11-15,35660.083333333336
2015-11-16,39566.916666666664
2015-11-17,40901.916666666664
2015-11-18,40587.5
2015-11-19,40018.75
2015-11-20,41086.25
2015-11-21,39200.25
2015-11-22,39276.75
2015-11-23,42415.416666666664
2015-11-24,41720.916666666664
2015-11-25,41695.583333333336
2015-11-26,40750.875
2015-11-27,39613.708333333336
2015-11-28,39120.708333333336
2015-11-29,38243.541666666664
2015-11-30,42935.833333333336
2015-12-01,42707.791666666664
2015-12-02,40446.0
2015-12-03,42109.333333333336
2015-12-04,40880.875
2015-12-05,38191.041666666664
2015-12-06,37092.041666666664
2015-12-07,40984.875
2015-12-08,41103.458333333336
2015-12-09,41186.125
2015-12-10,41786.75
2015-12-11,42407.791666666664
2015-12-12,39503.541666666664
2015-12-13,39682.958333333336
2015-12-14,42979.833333333336
2015-12-15,42782.416666666664
2015-12-16,42176.5
2015-12-17,41482.958333333336
2015-12-18,40654.416666666664
2015-12-19,35393.125
2015-12-20,35950.75
2015-12-21,40863.375
2015-12-22,40165.958333333336
2015-12-23,39095.25
2015-12-24,36800.291666666664
2015-12-25,33494.208333333336
2015-12-26,31986.25
2015-12-27,34448.958333333336
2015-12-28,34826.0
2015-12-29,35769.5
2015-12-30,36846.625
2015-12-31,36627.041666666664
2016-01-01,35767.75
2016-01-02,36311.5
2016-01-03,37252.666666666664
2016-01-04,41811.375
2016-01-05,43004.375
2016-01-06,42877.875
2016-01-07,42628.541666666664
2016-01-08,42988.791666666664
2016-01-09,39221.333333333336
2016-01-10,38378.166666666664
2016-01-11,44170.875
2016-01-12,44707.875
2016-01-13,45078.416666666664
2016-01-14,45512.291666666664
2016-01-15,45748.916666666664
2016-01-16,42894.208333333336
2016-01-17,42212.583333333336
2016-01-18,45749.666666666664
2016-01-19,44948.625
2016-01-20,44351.916666666664
2016-01-21,42922.25
2016-01-22,42496.958333333336
2016-01-23,40004.5
2016-01-24,38304.166666666664
2016-01-25,41594.291666666664
2016-01-26,42701.791666666664
2016-01-27,42584.875
