,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
167,Yainer Diaz,24,426,Maj-AL,Houston,103,373,351,51,100,22,0,23,60,11,0,72,5,0,6,12,0,0,0.285,0.311,0.544,0.855,673237
168,Yandy D\xc3\xadaz,31,427,Maj-AL,Tampa Bay,136,597,523,95,173,35,0,22,78,64,0,93,8,0,2,16,0,1,0.331,0.41,0.524,0.934,650490
169,Corey Dickerson,34,486,Maj-NL,Washington,49,151,143,12,36,7,1,2,17,7,0,28,0,0,1,3,0,1,0.252,0.285,0.357,0.641,572816
170,Brandon Dixon,31,503,Maj-NL,San Diego,33,86,79,10,16,4,0,2,9,1,0,31,4,0,2,1,1,0,0.203,0.244,0.329,0.573,641525
171,Jasson Dom\xc3\xadnguez,20,448,Maj-AL,New York,8,33,31,6,8,1,0,4,7,2,0,8,0,0,0,1,1,0,0.258,0.303,0.677,0.98,691176
172,Josh Donaldson,37,426,"Maj-AL,Maj-NL","Milwaukee,New York",49,185,161,17,24,5,0,13,26,22,0,48,0,0,2,6,0,0,0.149,0.249,0.422,0.671,518626
173,Brendan Donovan,26,490,Maj-NL,St. Louis,94,365,321,45,90,10,1,10,32,33,2,53,9,1,1,4,5,1,0.28,0.363,0.411,0.774,680977
174,Jeter Downs,24,469,Maj-NL,Washington,6,9,5,4,2,0,0,0,1,4,0,1,0,0,0,0,2,0,0.4,0.667,0.4,1.067,669023
175,Brenton Doyle,25,426,Maj-NL,Colorado,126,431,399,48,81,16,5,10,48,22,0,151,4,3,3,9,22,5,0.203,0.25,0.343,0.593,686668
176,Hunter Dozier,31,561,Maj-AL,Kansas City,28,88,79,8,15,2,1,2,9,8,0,27,0,0,1,0,2,0,0.19,0.261,0.317,0.578,641531
177,Brandon Drury,30,426,Maj-AL,Los Angeles,124,519,481,61,127,30,3,26,83,25,0,135,8,0,5,14,0,2,0.264,0.308,0.501,0.809,592273
178,Mauricio Dub\xc3\xb3n,28,426,Maj-AL,Houston,131,489,464,76,130,26,3,10,46,19,0,70,3,0,3,9,7,2,0.28,0.311,0.414,0.725,643289
179,Matt Duffy,32,426,Maj-AL,Kansas City,78,209,191,17,48,8,0,2,16,12,0,39,4,0,2,4,1,0,0.251,0.306,0.325,0.631,622110
180,Ezequiel Duran,24,428,Maj-AL,Texas,122,439,406,55,112,22,2,14,46,23,1,120,7,1,2,7,8,4,0.276,0.324,0.443,0.768,677649
181,Jarren Duran,26,468,Maj-AL,Boston,101,362,332,46,98,34,2,8,40,24,1,90,3,0,2,3,24,2,0.295,0.346,0.482,0.828,680776
183,Adam Duvall,34,427,Maj-AL,Boston,91,348,316,44,78,24,2,21,57,22,1,108,5,0,5,0,4,0,0.247,0.302,0.535,0.837,594807
184,Nate Eaton,26,526,Maj-AL,Kansas City,28,56,53,2,4,0,0,0,1,2,0,21,1,0,0,0,3,0,0.076,0.125,0.076,0.201,681987
185,Cam Eden,25,426,Maj-AL,Toronto,5,6,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.167,0.167,0.167,0.333,686490
186,Tommy Edman,28,426,Maj-NL,St. Louis,136,523,474,68,117,25,4,13,47,35,1,83,7,3,4,9,27,4,0.247,0.306,0.399,0.705,669242
187,Xavier Edwards,23,426,Maj-NL,Miami,30,84,78,12,23,3,0,0,3,3,0,14,1,2,0,1,5,0,0.295,0.329,0.333,0.663,669364
188,Drew Ellis,27,503,Maj-NL,Philadelphia,12,29,23,4,5,0,0,2,4,6,0,7,0,0,0,0,0,1,0.217,0.379,0.478,0.858,656403
189,Christian Encarnacion-Strand,23,426,Maj-NL,Cincinnati,63,241,222,29,60,7,0,13,37,14,0,69,5,0,0,5,2,0,0.27,0.328,0.478,0.805,687952
190,Adam Engel,31,561,Maj-NL,San Diego,5,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,641553
191,Eduardo Escobar,34,426,"Maj-AL,Maj-NL","Los Angeles,New York",97,302,281,31,64,6,5,6,31,18,0,75,0,1,2,7,2,1,0.228,0.272,0.349,0.621,500871
192,Santiago Espinal,28,426,Maj-AL,Toronto,93,254,230,30,57,14,0,2,25,18,1,36,3,2,1,5,2,1,0.248,0.31,0.335,0.644,669289
193,Thairo Estrada,27,426,Maj-NL,San Francisco,119,526,491,63,132,26,2,14,49,22,1,119,11,0,2,10,22,7,0.269,0.314,0.416,0.729,642731
194,Stuart Fairchild,27,426,Maj-NL,Cincinnati,96,255,219,34,50,16,2,5,28,25,0,69,6,3,2,2,10,2,0.228,0.321,0.388,0.71,656413
195,Kyle Farmer,32,426,Maj-AL,Minnesota,119,367,335,49,85,14,2,11,46,22,0,86,8,0,2,7,2,4,0.254,0.313,0.406,0.719,571657
196,Freddy Fermin,28,449,Maj-AL,Kansas City,70,235,217,26,61,10,1,9,32,13,0,50,1,1,3,11,0,0,0.281,0.321,0.461,0.781,666023
197,Jos\xc3\xa9 Ferm\xc3\xadn,24,426,Maj-NL,St. Louis,21,61,51,2,12,1,0,0,4,6,0,8,2,2,0,1,0,1,0.235,0.339,0.255,0.594,665877
198,Tyler Fitzgerald,25,426,Maj-NL,San Francisco,10,34,32,3,7,2,0,2,5,2,0,10,0,0,0,0,2,0,0.219,0.265,0.469,0.734,666149
199,David Fletcher,29,426,Maj-AL,Los Angeles,33,97,89,7,22,1,0,2,12,7,1,9,0,1,0,2,0,0,0.247,0.302,0.326,0.628,664058
200,Dominic Fletcher,25,513,Maj-NL,Arizona,28,102,93,10,28,5,1,2,14,7,1,22,0,2,0,0,0,2,0.301,0.35,0.441,0.791,666150
201,Wilmer Flores,31,427,Maj-NL,San Francisco,125,450,402,51,115,22,0,23,60,40,1,62,5,0,3,12,0,0,0.286,0.356,0.512,0.868,527038
202,Estevan Florial,25,426,Maj-AL,New York,18,71,61,5,14,3,1,0,8,7,0,20,2,0,1,0,3,0,0.23,0.324,0.312,0.635,664314
203,Mike Ford,30,426,Maj-AL,Seattle,83,251,219,32,50,6,0,16,34,24,0,81,7,0,1,4,0,0,0.228,0.323,0.475,0.798,645801
204,Nick Fortes,26,426,Maj-NL,Miami,107,320,291,33,59,10,0,6,26,17,0,59,7,3,2,12,4,2,0.203,0.262,0.299,0.561,663743
205,Jake Fraley,28,430,Maj-NL,Cincinnati,110,375,332,40,84,18,0,15,65,36,2,70,6,0,1,5,21,5,0.253,0.336,0.443,0.779,641584
206,Ty France,28,426,Maj-AL,Seattle,156,657,580,77,143,31,0,11,55,42,0,117,34,0,1,25,1,0,0.247,0.333,0.357,0.69,664034
207,Wander Franco,22,476,Maj-AL,Tampa Bay,111,487,438,64,122,23,6,16,57,42,3,69,3,0,4,18,30,10,0.279,0.343,0.468,0.811,677551
209,Adam Frazier,31,426,Maj-AL,Baltimore,140,450,408,56,97,19,2,13,60,31,0,67,4,4,2,4,10,4,0.238,0.297,0.39,0.686,624428
210,Clint Frazier,28,517,Maj-AL,Chicago,33,76,66,10,13,1,1,0,3,10,0,23,0,0,0,0,4,2,0.197,0.303,0.242,0.545,640449
211,Freddie Freeman,33,426,Maj-NL,Los Angeles,159,720,628,130,209,59,2,29,102,71,12,119,16,0,5,14,23,1,0.333,0.411,0.572,0.983,518692
212,Tyler Freeman,24,426,Maj-AL,Cleveland,64,168,153,20,37,7,0,4,18,10,0,30,2,2,1,3,5,0,0.242,0.295,0.366,0.661,671289
213,Sal Frelick,23,426,Maj-NL,Milwaukee,57,223,191,29,47,9,1,3,24,28,0,37,1,0,3,2,7,0,0.246,0.341,0.351,0.692,686217
214,TJ Friedl,27,427,Maj-NL,Cincinnati,137,551,484,73,136,22,8,18,66,46,1,87,10,8,3,0,27,6,0.281,0.354,0.471,0.825,670770
215,David Fry,27,433,Maj-AL,Cleveland,57,113,101,12,24,6,0,4,15,8,0,30,4,0,0,3,2,0,0.238,0.319,0.416,0.734,681807
216,Michael Fulmer,30,516,Maj-NL,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605242
217,Cam Gallagher,30,427,Maj-AL,Cleveland,56,149,143,6,18,6,0,0,7,4,0,46,1,0,1,3,0,0,0.126,0.154,0.168,0.322,595956
218,Joey Gallo,29,452,Maj-AL,Minnesota,110,330,280,39,49,9,1,21,40,48,1,141,2,0,0,3,1,1,0.175,0.3,0.439,0.739,608336
219,Ben Gamel,31,458,Maj-NL,San Diego,6,15,15,2,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0.2,0.2,0.267,0.467,592325
220,Adolis Garc\xc3\xada,30,426,Maj-AL,Texas,147,628,551,107,134,29,0,39,105,65,0,174,6,0,6,12,9,1,0.243,0.326,0.508,0.835,666969
221,Avisa\xc3\xadl Garc\xc3\xada,32,466,Maj-NL,Miami,35,111,102,8,20,3,1,3,12,5,1,38,2,0,0,1,2,0,0.196,0.248,0.333,0.581,541645
222,Luis Garc\xc3\xada Jr.,23,426,Maj-NL,Washington,121,478,443,61,119,18,4,9,50,27,1,59,0,1,7,10,9,4,0.269,0.306,0.388,0.694,671277
223,Maikel Garcia,23,426,Maj-AL,Kansas City,123,515,464,59,126,20,4,4,50,38,0,115,2,1,10,9,23,7,0.272,0.323,0.358,0.681,672580
224,Kyle Garlick,31,540,Maj-AL,Minnesota,14,30,28,2,5,1,0,2,4,2,0,11,0,0,0,0,0,0,0.179,0.233,0.429,0.662,664247
225,Stone Garrett,27,465,Maj-NL,Washington,89,271,234,40,63,17,0,9,40,26,0,82,3,0,5,6,3,1,0.269,0.343,0.457,0.801,656448
226,Mitch Garver,32,426,Maj-AL,Texas,87,344,296,45,80,11,0,19,50,44,1,82,3,0,0,6,0,0,0.27,0.37,0.5,0.87,641598
227,Zack Gelof,23,426,Maj-AL,Oakland,69,300,270,40,72,20,1,14,32,26,1,82,3,0,1,5,14,2,0.267,0.337,0.504,0.84,680869
228,Andr\xc3\xa9s Gim\xc3\xa9nez,24,427,Maj-AL,Cleveland,151,608,550,73,138,27,5,15,62,31,3,111,20,4,3,10,29,6,0.251,0.313,0.4,0.713,665926
229,Paul Goldschmidt,35,427,Maj-NL,St. Louis,153,682,589,88,157,30,0,25,79,86,6,160,3,0,3,12,10,2,0.267,0.361,0.445,0.806,502671
230,Yan Gomes,35,427,Maj-NL,Chicago,115,415,378,44,102,20,2,10,62,21,1,81,9,0,7,8,1,0,0.27,0.318,0.413,0.731,543228
231,Nick Gonzales,24,426,Maj-NL,Pittsburgh,35,128,115,12,24,8,1,2,13,6,0,36,4,1,2,0,0,1,0.209,0.268,0.348,0.616,693304
232,Oscar Gonz\xc3\xa1lez,25,426,Maj-AL,Cleveland,53,175,168,14,35,7,2,2,12,5,0,46,1,0,1,2,0,0,0.208,0.234,0.31,0.544,660757
233,Romy Gonzalez,26,532,Maj-AL,Chicago,43,95,91,11,17,4,2,3,14,2,0,36,0,1,1,0,7,0,0.187,0.202,0.374,0.576,663853
235,Hunter Goodman,23,427,Maj-NL,Colorado,23,77,70,6,14,4,3,1,17,5,0,24,0,0,2,2,1,0,0.2,0.247,0.386,0.633,696100
236,Nick Gordon,27,563,Maj-AL,Minnesota,33,91,89,13,16,5,1,2,7,1,0,11,0,1,0,1,0,0,0.18,0.189,0.326,0.515,624503
237,Nolan Gorman,23,445,Maj-NL,St. Louis,118,459,403,59,95,17,0,27,76,51,0,146,3,0,2,5,7,2,0.236,0.325,0.479,0.804,669357
238,Yasmani Grandal,34,426,Maj-AL,Chicago,116,397,355,32,83,14,0,7,32,36,1,84,4,0,2,11,0,0,0.234,0.31,0.332,0.642,518735
239,Tristan Gray,27,440,Maj-AL,Tampa Bay,2,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.4,1.0,1.4,656484
240,Riley Greene,22,456,Maj-AL,Detroit,98,412,375,51,108,19,4,11,37,34,0,114,1,0,2,7,7,0,0.288,0.347,0.448,0.795,682985
241,Randal Grichuk,31,426,"Maj-AL,Maj-NL","Colorado,Los Angeles",118,471,434,65,116,31,2,16,44,29,2,96,6,0,2,11,2,2,0.267,0.321,0.459,0.779,545341
242,Trent Grisham,26,426,Maj-NL,San Diego,151,548,463,66,92,30,1,13,50,74,0,153,5,4,1,7,15,3,0.199,0.315,0.352,0.667,663757
243,Vaughn Grissom,22,465,Maj-NL,Atlanta,23,80,75,5,21,3,1,0,9,2,0,15,2,0,1,2,0,1,0.28,0.313,0.347,0.659,687093
244,Robbie Grossman,33,427,Maj-AL,Texas,114,416,350,55,83,23,1,9,46,56,0,97,2,0,8,8,1,0,0.237,0.339,0.386,0.725,543257
245,Vladimir Guerrero Jr.,24,427,Maj-AL,Toronto,155,676,598,78,157,30,0,26,91,67,5,100,8,0,3,23,5,3,0.263,0.343,0.443,0.786,665489
246,Luis Guillorme,28,427,Maj-NL,New York,53,119,106,12,24,6,1,1,9,10,1,28,0,2,1,4,0,0,0.226,0.291,0.33,0.621,641645
247,Lourdes Gurriel Jr.,29,426,Maj-NL,Arizona,143,584,543,65,142,35,2,24,82,33,1,101,6,0,2,19,5,0,0.262,0.31,0.466,0.776,666971
248,Yuli Gurriel,39,426,Maj-NL,Miami,108,327,296,32,73,16,3,4,28,26,3,44,1,0,4,13,4,0,0.247,0.306,0.362,0.667,493329
249,Dalton Guthrie,27,536,Maj-NL,Philadelphia,23,28,24,4,4,1,0,0,0,3,0,7,1,0,0,0,0,0,0.167,0.286,0.208,0.494,656495
250,Eric Haase,30,458,Maj-AL,"Cleveland,Detroit",88,289,270,22,55,8,1,4,26,17,1,81,0,1,1,11,4,1,0.204,0.25,0.285,0.535,606992
251,Sam Haggerty,29,427,Maj-AL,Seattle,52,108,91,13,23,3,1,1,5,15,0,17,1,1,0,0,10,1,0.253,0.365,0.341,0.705,664059
252,Darick Hall,27,499,Maj-NL,Philadelphia,17,51,50,2,9,1,0,1,2,1,0,18,0,0,0,2,0,0,0.18,0.196,0.26,0.456,669742
253,Billy Hamilton,32,576,Maj-AL,Chicago,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,571740
254,Caleb Hamilton,28,518,Maj-AL,Boston,4,6,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.167,0.0,0.167,643348
255,David Hamilton,25,459,Maj-AL,Boston,15,39,33,2,4,2,0,0,0,6,0,10,0,0,0,1,2,1,0.121,0.256,0.182,0.438,666152
256,Garrett Hampson,28,426,Maj-NL,Miami,98,252,221,30,61,12,1,3,23,23,0,67,3,3,2,3,5,0,0.276,0.349,0.38,0.73,641658
257,Mitch Haniger,32,432,Maj-NL,San Francisco,61,229,211,27,44,13,1,6,28,15,0,65,2,0,1,7,1,0,0.209,0.266,0.365,0.631,571745
258,Ian Happ,28,427,Maj-NL,Chicago,157,687,578,85,143,35,4,21,84,97,2,152,6,0,6,12,14,3,0.247,0.358,0.431,0.789,664023
259,Bryce Harper,30,427,Maj-NL,Philadelphia,126,546,457,84,134,29,1,21,72,80,8,119,5,0,4,10,11,3,0.293,0.401,0.499,0.9,547180
261,Michael Harris II,22,426,Maj-NL,Atlanta,137,534,501,74,147,33,3,18,57,24,1,100,5,1,3,8,20,4,0.293,0.33,0.479,0.809,671739
262,Josh Harrison,35,489,Maj-NL,Philadelphia,40,114,103,8,21,3,0,2,10,3,0,20,6,0,2,2,0,0,0.204,0.263,0.291,0.555,543281
263,Adam Haseley,27,520,Maj-AL,Chicago,28,39,36,6,8,2,0,0,2,3,0,8,0,0,0,1,1,0,0.222,0.282,0.278,0.56,656514
264,Ke\'Bryan Hayes,26,427,Maj-NL,Pittsburgh,123,521,490,65,134,31,7,15,61,28,1,102,0,0,3,11,10,6,0.274,0.311,0.457,0.768,663647
265,Austin Hays,27,428,Maj-AL,Baltimore,143,561,515,76,143,36,2,16,67,38,1,139,3,0,5,10,5,1,0.278,0.328,0.449,0.777,669720
266,Austin Hedges,30,428,"Maj-AL,Maj-NL","Pittsburgh,Texas",80,208,183,13,34,5,0,1,16,10,0,46,2,9,3,7,1,0,0.186,0.232,0.23,0.462,595978
267,Jonah Heim,28,426,Maj-AL,Texas,130,497,453,59,116,27,0,18,93,40,2,96,1,0,3,10,2,0,0.256,0.316,0.435,0.751,641680
268,Tyler Heineman,32,426,"Maj-AL,Maj-NL","Pittsburgh,Toronto",22,47,38,5,9,1,1,0,3,8,0,8,1,0,0,0,1,0,0.237,0.383,0.316,0.699,623168
269,Gunnar Henderson,22,426,Maj-AL,Baltimore,149,617,557,99,143,29,9,28,82,54,1,157,3,0,3,10,10,3,0.257,0.324,0.492,0.816,683002
270,David Hensley,27,469,Maj-AL,Houston,29,90,81,12,8,1,0,1,2,9,0,34,0,0,0,0,0,0,0.099,0.189,0.148,0.337,682073
271,Enrique Hern\xc3\xa1ndez,31,426,"Maj-AL,Maj-NL","Boston,Los Angeles",139,505,462,57,110,23,0,11,61,34,1,96,3,0,6,17,4,1,0.238,0.291,0.359,0.65,571771
272,Teoscar Hern\xc3\xa1ndez,30,427,Maj-AL,Seattle,158,670,617,70,161,29,2,26,93,38,2,206,8,0,7,6,7,2,0.261,0.309,0.441,0.75,606192
273,Yonny Hern\xc3\xa1ndez,25,493,Maj-NL,Los Angeles,13,27,22,5,3,1,0,0,4,2,0,8,1,1,1,0,0,0,0.136,0.231,0.182,0.413,660634
274,Iv\xc3\xa1n Herrera,23,427,Maj-NL,St. Louis,13,44,37,6,11,2,0,0,4,5,0,11,2,0,0,1,0,0,0.297,0.409,0.351,0.761,671056
275,Jos\xc3\xa9 Herrera,26,445,Maj-NL,Arizona,41,120,101,15,21,5,0,0,7,13,0,30,0,5,1,2,1,0,0.208,0.296,0.257,0.553,645444
276,Jason Heyward,33,427,Maj-NL,Los Angeles,124,377,334,56,90,23,0,15,40,34,1,64,3,0,3,7,2,2,0.27,0.34,0.473,0.813,518792
277,Aaron Hicks,33,427,Maj-AL,"Baltimore,New York",93,312,269,44,68,9,1,8,36,42,1,69,0,0,1,3,6,0,0.253,0.353,0.383,0.736,543305
278,Kyle Higashioka,33,426,Maj-AL,New York,92,260,242,24,57,13,0,10,34,14,0,74,0,1,3,5,0,0,0.236,0.274,0.413,0.687,543309
279,Derek Hill,27,515,Maj-NL,Washington,13,50,47,3,8,1,0,0,1,3,0,11,0,0,0,0,1,0,0.17,0.22,0.192,0.412,656537
280,Sam Hilliard,29,501,Maj-NL,Atlanta,39,77,72,14,17,5,0,3,6,5,0,33,0,0,0,1,3,0,0.236,0.286,0.431,0.716,656541
281,Nico Hoerner,26,428,Maj-NL,Chicago,149,684,615,97,174,27,4,9,68,49,0,83,14,1,5,12,43,7,0.283,0.347,0.384,0.731,663538
282,TJ Hopkins,26,460,Maj-NL,Cincinnati,25,44,41,7,7,0,0,0,1,2,0,17,1,0,0,1,1,0,0.171,0.227,0.171,0.398,686759
283,Spencer Horwitz,25,436,Maj-AL,Toronto,15,44,39,5,10,2,0,1,7,4,0,12,1,0,0,1,0,0,0.256,0.341,0.385,0.726,687462
284,Eric Hosmer,33,564,Maj-NL,Chicago,30,96,90,7,22,3,0,2,14,6,0,25,0,0,0,5,0,0,0.244,0.292,0.344,0.636,543333
285,Sam Huff,25,440,Maj-AL,Texas,21,45,43,5,11,2,0,3,6,2,0,17,0,0,0,1,0,0,0.256,0.289,0.512,0.801,669087
287,Cooper Hummel,28,592,Maj-AL,Seattle,9,22,20,1,2,1,0,0,0,2,0,7,0,0,0,1,0,0,0.1,0.182,0.15,0.332,669450
288,Andy Ib\xc3\xa1\xc3\xb1ez,30,426,Maj-AL,Detroit,114,383,356,42,94,23,2,11,41,24,0,69,1,1,1,7,1,0,0.264,0.312,0.433,0.744,628451
289,Jonathan India,26,427,Maj-NL,Cincinnati,118,524,450,76,109,22,0,17,61,51,0,108,16,0,7,13,14,2,0.242,0.336,0.404,0.74,663697
290,Kyle Isbel,26,428,Maj-AL,Kansas City,90,310,290,45,69,21,2,5,34,16,0,59,1,1,2,5,7,1,0.238,0.278,0.376,0.654,664728
291,Travis Jankowski,32,428,Maj-AL,Texas,107,287,247,34,65,12,1,1,30,35,0,42,2,1,2,6,19,1,0.263,0.357,0.332,0.689,608671
292,Danny Jansen,28,456,Maj-AL,Toronto,86,301,268,38,61,15,0,17,53,23,1,62,10,0,0,3,0,0,0.228,0.312,0.474,0.786,643376
293,Ryan Jeffers,26,426,Maj-AL,Minnesota,96,335,286,46,79,15,2,14,43,33,1,93,10,4,2,6,3,2,0.276,0.369,0.49,0.858,680777
294,Eloy Jim\xc3\xa9nez,26,427,Maj-AL,Chicago,118,480,447,49,122,21,0,18,62,30,2,90,1,0,2,13,0,0,0.273,0.319,0.441,0.76,650391
295,Connor Joe,30,426,Maj-NL,Pittsburgh,133,472,413,63,102,31,4,11,42,50,0,110,8,0,1,4,3,5,0.247,0.339,0.421,0.76,656582
296,Bryce Johnson,27,517,Maj-NL,San Francisco,30,48,43,7,7,1,0,1,3,4,0,15,0,0,1,0,3,0,0.163,0.229,0.256,0.485,669369
297,Jahmai Jones,25,494,Maj-NL,Milwaukee,7,11,10,2,2,1,0,0,3,1,0,5,0,0,0,0,1,0,0.2,0.273,0.3,0.573,663330
298,Nolan Jones,25,426,Maj-NL,Colorado,106,424,367,60,109,22,4,20,62,53,3,126,3,0,1,1,20,4,0.297,0.389,0.542,0.931,666134
299,Aaron Judge,31,427,Maj-AL,New York,105,454,363,78,96,16,0,36,73,88,9,128,0,0,3,5,3,1,0.265,0.405,0.606,1.011,592450
300,Edouard Julien,24,426,Maj-AL,Minnesota,108,408,338,60,89,16,1,16,37,64,0,128,2,1,3,8,3,0,0.263,0.381,0.459,0.839,666397
301,Corey Julks,27,460,Maj-AL,Houston,92,319,294,35,72,14,0,6,33,22,0,73,1,0,2,6,15,3,0.245,0.298,0.354,0.652,667452
302,Josh Jung,25,426,Maj-AL,Texas,121,511,475,74,127,25,1,23,70,29,0,149,5,0,2,7,1,3,0.267,0.315,0.47,0.785,673962
303,Connor Kaiser,26,528,Maj-NL,Colorado,3,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663731
304,Jarred Kelenic,23,426,Maj-AL,Seattle,103,409,365,44,92,24,2,11,49,41,4,128,1,0,2,6,12,5,0.252,0.328,0.419,0.747,672284
305,Carson Kelly,28,427,"Maj-AL,Maj-NL","Arizona,Detroit",50,151,136,13,28,5,0,2,13,14,0,40,0,0,1,2,1,0,0.206,0.278,0.287,0.565,608348
306,Tony Kemp,31,433,Maj-AL,Oakland,123,415,356,41,74,12,3,5,26,43,0,39,6,7,3,9,15,4,0.208,0.302,0.301,0.602,643393
307,Buddy Kennedy,24,458,Maj-NL,Arizona,10,29,24,1,4,1,0,0,1,4,0,6,1,0,0,0,0,0,0.167,0.31,0.208,0.519,671083
308,Max Kepler,30,426,Maj-AL,Minnesota,128,486,433,72,114,22,2,24,66,45,0,105,4,0,4,9,1,1,0.263,0.335,0.49,0.825,596146
309,Grae Kessinger,25,426,Maj-AL,Houston,26,45,40,3,8,2,0,1,1,5,0,12,0,0,0,0,0,1,0.2,0.289,0.325,0.614,666197
310,Carter Kieboom,25,426,Maj-NL,Washington,27,94,87,12,18,2,0,4,11,6,0,27,1,0,0,2,0,0,0.207,0.266,0.368,0.634,666198
311,Kevin Kiermaier,33,427,Maj-AL,Toronto,128,403,365,57,96,21,6,8,36,29,0,85,4,1,4,9,14,1,0.263,0.321,0.419,0.74,595281
313,Ha-Seong Kim,27,426,Maj-NL,San Diego,150,619,531,83,136,21,0,17,60,75,1,124,3,5,5,6,38,9,0.256,0.349,0.392,0.74,673490
314,Isiah Kiner-Falefa,28,426,Maj-AL,New York,113,361,326,39,79,12,1,6,37,28,0,70,3,1,3,12,14,5,0.242,0.306,0.341,0.646,643396
315,Alex Kirilloff,25,426,Maj-AL,Minnesota,88,319,281,35,76,14,1,11,41,28,1,80,7,0,3,2,1,0,0.271,0.348,0.445,0.793,666135
316,Alejandro Kirk,24,427,Maj-AL,Toronto,122,417,367,34,92,16,0,8,41,42,1,44,6,0,2,21,0,0,0.251,0.336,0.36,0.695,672386
317,Heston Kjerstad,24,426,Maj-AL,Baltimore,13,33,30,3,7,1,0,2,3,2,0,10,0,0,0,0,0,0,0.233,0.281,0.467,0.748,677008
318,Andrew Knizner,28,426,Maj-NL,St. Louis,69,240,223,30,54,11,0,10,31,12,0,62,3,1,1,8,2,0,0.242,0.289,0.426,0.715,668800
319,Taylor Kohlwey,28,491,Maj-NL,San Diego,5,13,13,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0.154,0.154,0.154,0.308,670128
320,Mark Kolozsvary,27,536,Maj-AL,Baltimore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,656627
321,Ryan Kreidler,25,596,Maj-AL,Detroit,10,15,15,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0.133,0.133,0.133,0.267,668952
322,Steven Kwan,25,426,Maj-AL,Cleveland,156,708,630,93,169,35,7,5,49,69,2,73,3,1,5,9,21,3,0.268,0.341,0.37,0.711,680757
323,Tommy La Stella,34,580,Maj-AL,Seattle,11,21,18,2,4,1,0,0,2,3,0,5,0,0,0,0,0,0,0.222,0.333,0.278,0.611,600303
324,Jake Lamb,32,574,Maj-AL,Los Angeles,18,54,51,7,11,1,0,2,5,3,0,15,0,0,0,1,0,0,0.216,0.259,0.353,0.612,571875
325,Shea Langeliers,25,427,Maj-AL,Oakland,134,487,446,52,92,19,4,22,63,33,2,143,5,1,2,10,3,2,0.206,0.268,0.415,0.682,669127
326,Trevor Larnach,26,426,Maj-AL,Minnesota,57,207,179,25,37,7,3,8,39,26,1,70,0,0,2,2,1,1,0.207,0.304,0.413,0.718,663616
327,Ram\xc3\xb3n Laureano,28,426,Maj-AL,"Cleveland,Oakland",104,400,357,46,81,18,4,9,35,33,0,111,9,0,1,8,12,1,0.227,0.308,0.375,0.683,657656
328,Jordan Lawlar,20,426,Maj-NL,Arizona,14,34,31,2,4,0,0,0,0,2,0,11,1,0,0,0,1,1,0.129,0.206,0.129,0.335,691783
329,Korey Lee,24,426,Maj-AL,Chicago,24,70,65,4,5,1,0,1,3,5,0,20,0,0,0,0,0,0,0.077,0.143,0.139,0.281,686676
330,DJ LeMahieu,34,426,Maj-AL,New York,135,558,493,55,120,22,3,15,43,60,2,122,3,0,2,14,2,2,0.243,0.328,0.392,0.72,518934
331,Sandy Le\xc3\xb3n,34,536,Maj-AL,Texas,21,44,41,4,6,2,0,0,4,1,0,20,1,1,0,2,0,0,0.146,0.186,0.195,0.381,506702
332,Josh Lester,28,526,Maj-AL,Baltimore,11,23,22,0,4,0,0,0,4,1,0,7,0,0,0,1,0,0,0.182,0.217,0.182,0.399,623507
333,Kyle Lewis,27,469,Maj-NL,Arizona,14,49,46,1,7,2,0,0,0,3,0,18,0,0,0,0,0,0,0.152,0.204,0.196,0.4,641786
334,Royce Lewis,24,438,Maj-AL,Minnesota,58,239,217,36,67,7,0,15,52,20,0,55,2,0,0,5,6,1,0.309,0.372,0.548,0.921,668904
335,Francisco Lindor,29,426,Maj-NL,New York,158,678,596,108,152,33,2,31,97,64,1,134,12,0,6,8,31,4,0.255,0.336,0.473,0.81,596019
336,Andre Lipcius,25,429,Maj-AL,Detroit,13,38,35,3,10,1,0,1,4,3,0,8,0,0,0,1,0,0,0.286,0.342,0.4,0.742,686531
337,Tim Locastro,30,426,Maj-NL,New York,42,67,56,13,13,3,0,2,3,3,0,22,6,2,0,0,6,0,0.232,0.339,0.393,0.731,641796
