,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
39,Akil Baddoo,24,426,Maj-AL,Detroit,112,357,312,40,68,13,1,11,34,42,2,89,0,2,1,4,14,3,0.218,0.31,0.372,0.682,668731
40,Harrison Bader,29,440,"Maj-AL,Maj-NL","Cincinnati,New York",98,344,319,44,74,12,2,7,40,17,0,59,3,1,4,7,20,3,0.232,0.274,0.348,0.622,664056
41,Ji Hwan Bae,23,426,Maj-NL,Pittsburgh,110,367,331,52,75,16,2,2,32,29,0,92,2,3,2,4,22,9,0.227,0.291,0.305,0.596,678225
42,Javier B\xc3\xa1ez,30,426,Maj-AL,Detroit,135,543,507,58,112,18,4,9,59,23,0,124,9,0,3,12,12,0,0.221,0.266,0.325,0.591,595879
43,Patrick Bailey,24,427,Maj-NL,San Francisco,97,353,326,29,76,18,1,7,48,21,0,100,3,2,1,8,1,0,0.233,0.285,0.359,0.644,672275
44,Luken Baker,26,426,Maj-NL,St. Louis,33,99,86,9,18,3,0,2,10,13,0,31,0,0,0,1,0,0,0.209,0.313,0.314,0.627,663609
45,Rylan Bannon,27,580,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
46,Austin Barnes,33,427,Maj-NL,Los Angeles,59,200,178,15,32,5,0,2,11,17,0,43,2,1,2,7,2,1,0.18,0.256,0.242,0.498,605131
47,Tucker Barnhart,32,472,Maj-NL,Chicago,43,123,109,6,22,3,0,1,9,12,0,42,1,0,1,4,1,0,0.202,0.285,0.257,0.542,571466
48,Tres Barrera,28,556,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
49,Jose Barrero,25,535,Maj-NL,Cincinnati,45,145,129,15,29,8,0,2,17,15,0,42,0,0,1,1,3,2,0.225,0.303,0.333,0.637,676480
50,Joey Bart,26,446,Maj-NL,San Francisco,29,95,87,9,18,5,0,0,5,3,0,23,4,0,1,0,0,0,0.207,0.263,0.264,0.528,663698
51,Osleivis Basabe,22,426,Maj-AL,Tampa Bay,31,94,87,15,19,5,0,1,12,6,0,25,1,0,0,2,0,1,0.218,0.277,0.31,0.587,678545
53,Matthew Batten,28,426,Maj-NL,San Diego,43,139,120,19,31,6,0,2,11,17,0,30,1,1,0,0,2,2,0.258,0.355,0.358,0.713,676946
54,Brett Baty,23,426,Maj-NL,New York,108,389,353,41,75,12,0,9,34,29,0,109,2,1,1,8,2,0,0.213,0.275,0.323,0.598,683146
55,Jake Bauers,27,427,Maj-AL,New York,84,272,242,28,49,15,0,12,30,27,0,95,0,0,3,3,3,2,0.203,0.279,0.413,0.693,641343
56,Matt Beaty,30,451,"Maj-AL,Maj-NL","Kansas City,San Francisco",29,71,60,8,14,4,0,0,4,6,0,13,5,0,0,1,0,0,0.233,0.352,0.3,0.652,607461
57,Josh Bell,30,427,"Maj-AL,Maj-NL","Cleveland,Miami",148,608,540,52,134,28,0,22,74,61,2,133,2,0,3,13,0,1,0.248,0.325,0.422,0.747,605137
58,Cody Bellinger,27,427,Maj-NL,Chicago,129,552,496,95,153,29,1,26,97,39,3,86,5,0,12,7,20,6,0.309,0.357,0.528,0.885,641355
59,Brandon Belt,35,426,Maj-AL,Toronto,102,400,335,53,85,22,0,19,43,61,1,139,2,0,2,5,0,0,0.254,0.37,0.49,0.86,474832
60,Anthony Bemboom,33,517,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
61,Andrew Benintendi,28,428,Maj-AL,Chicago,149,612,553,71,145,33,2,5,45,52,5,88,3,1,3,12,13,2,0.262,0.327,0.356,0.684,643217
62,Will Benson,25,426,Maj-NL,Cincinnati,107,325,283,51,79,15,8,11,31,40,0,99,1,0,1,3,19,3,0.279,0.369,0.505,0.875,666181
63,Jon Berti,33,426,Maj-NL,Miami,131,420,384,53,113,16,3,7,33,29,2,75,2,2,3,10,16,6,0.294,0.345,0.406,0.751,542932
64,Christian Bethancourt,31,427,Maj-AL,Tampa Bay,103,329,313,49,71,16,0,11,33,12,0,91,0,1,3,6,1,0,0.227,0.253,0.383,0.636,542194
65,Mookie Betts,30,426,Maj-NL,Los Angeles,150,683,577,124,178,40,1,38,106,93,3,103,8,0,5,5,14,3,0.309,0.409,0.579,0.987,605141
66,Bo Bichette,25,426,Maj-AL,Toronto,134,595,565,67,171,29,3,20,72,27,0,114,2,0,1,14,5,3,0.303,0.336,0.471,0.807,666182
67,Cavan Biggio,28,426,Maj-AL,Toronto,110,337,289,54,68,12,0,9,40,39,0,88,7,0,2,0,5,2,0.235,0.338,0.37,0.709,624415
68,Charlie Blackmon,36,426,Maj-NL,Colorado,94,403,350,54,95,23,5,7,38,39,0,53,10,0,4,6,4,1,0.271,0.357,0.426,0.783,453568
69,Dairon Blanco,30,426,Maj-AL,Kansas City,69,138,124,19,32,7,4,3,18,10,0,33,2,2,0,2,24,5,0.258,0.324,0.452,0.775,680118
70,Travis Blankenhorn,26,443,Maj-NL,Washington,10,37,31,2,5,0,0,1,1,6,0,6,0,0,0,0,0,0,0.161,0.297,0.258,0.555,663905
71,JJ Bleday,25,426,Maj-AL,Oakland,82,303,256,35,50,11,0,10,27,42,0,72,2,0,3,3,5,1,0.195,0.31,0.356,0.666,668709
72,Xander Bogaerts,30,426,Maj-NL,San Diego,153,657,589,82,166,29,2,19,57,56,0,108,7,0,5,21,19,2,0.282,0.349,0.435,0.783,593428
73,Alec Bohm,26,426,Maj-NL,Philadelphia,144,607,554,72,150,30,0,19,94,42,1,93,5,0,6,23,4,1,0.271,0.325,0.428,0.752,664761
74,Sean Bouchard,27,426,Maj-NL,Colorado,21,43,38,11,12,2,0,4,7,4,0,14,0,0,1,0,0,1,0.316,0.372,0.684,1.056,656248
75,Jackie Bradley Jr.,33,542,Maj-AL,Kansas City,43,113,105,10,14,5,0,1,6,5,0,29,2,1,0,3,0,0,0.133,0.188,0.21,0.397,598265
76,Michael Brantley,36,426,Maj-AL,Houston,15,57,54,7,15,2,0,2,7,2,0,2,0,0,1,2,0,0,0.278,0.298,0.426,0.724,488726
77,Alex Bregman,29,426,Maj-AL,Houston,159,716,615,102,163,28,4,25,98,91,1,85,8,0,2,22,3,1,0.265,0.366,0.446,0.811,608324
79,Will Brennan,25,426,Maj-AL,Cleveland,137,452,429,41,114,24,0,5,41,16,2,56,5,0,2,4,13,5,0.266,0.299,0.357,0.655,686823
80,Jonah Bride,27,451,Maj-AL,Oakland,39,106,88,9,15,3,0,0,7,11,0,22,4,1,2,3,0,1,0.171,0.286,0.205,0.49,681146
81,Mike Brosseau,29,545,Maj-NL,Milwaukee,29,78,73,4,15,2,0,4,8,4,0,20,1,0,0,2,0,0,0.206,0.256,0.397,0.654,670712
82,Seth Brown,30,429,Maj-AL,Oakland,111,374,339,33,74,18,1,14,52,30,1,101,2,1,2,6,2,1,0.218,0.284,0.401,0.685,664913
83,Vidal Bruj\xc3\xa1n,25,444,Maj-AL,Tampa Bay,37,84,76,14,13,2,0,0,6,5,0,21,2,1,0,1,3,2,0.171,0.241,0.197,0.438,660644
84,Kris Bryant,31,426,Maj-NL,Colorado,78,325,291,34,66,9,0,10,30,28,0,67,6,0,0,6,0,0,0.227,0.308,0.361,0.669,592178
